date,code,revenue,name_zh,market,name_ko,sector
2018-12,2303,11385275.0,聯電,sii,UMC,파운드리
2019-01,2303,11795477.0,聯電,sii,UMC,파운드리
2019-02,2303,10461743.0,聯電,sii,UMC,파운드리
2019-03,2303,10325739.0,聯電,sii,UMC,파운드리
2019-04,2303,12082275.0,聯電,sii,UMC,파운드리
2019-05,2303,12242267.0,聯電,sii,UMC,파운드리
2019-06,2303,11706642.0,聯電,sii,UMC,파운드리
2019-07,2303,13728148.0,聯電,sii,UMC,파운드리
2019-08,2303,13184069.0,聯電,sii,UMC,파운드리
2019-09,2303,10826223.0,聯電,sii,UMC,파운드리
2019-10,2303,14587122.0,聯電,sii,UMC,파운드리
2019-11,2303,13891904.0,聯電,sii,UMC,파운드리
2019-12,2303,13370032.0,聯電,sii,UMC,파운드리
2020-01,2303,14091018.0,聯電,sii,UMC,파운드리
2020-02,2303,13606421.0,聯電,sii,UMC,파운드리
2020-03,2303,14570408.0,聯電,sii,UMC,파운드리
2020-04,2303,15059189.0,聯電,sii,UMC,파운드리
2020-05,2303,14745577.0,聯電,sii,UMC,파운드리
2020-06,2303,14581494.0,聯電,sii,UMC,파운드리
2020-07,2303,15494823.0,聯電,sii,UMC,파운드리
2020-08,2303,14841818.0,聯電,sii,UMC,파운드리
2020-09,2303,14533813.0,聯電,sii,UMC,파운드리
2020-10,2303,15282825.0,聯電,sii,UMC,파운드리
2020-11,2303,14725559.0,聯電,sii,UMC,파운드리
2020-12,2303,15287969.0,聯電,sii,UMC,파운드리
2021-01,2303,15529559.0,聯電,sii,UMC,파운드리
2021-02,2303,14947898.0,聯電,sii,UMC,파운드리
2021-03,2303,16619555.0,聯電,sii,UMC,파운드리
2021-04,2303,16382058.0,聯電,sii,UMC,파운드리
2021-05,2303,17189070.0,聯電,sii,UMC,파운드리
2021-06,2303,17336613.0,聯電,sii,UMC,파운드리
2021-07,2303,18366122.0,聯電,sii,UMC,파운드리
2021-08,2303,18789991.0,聯電,sii,UMC,파운드리
2021-09,2303,18750564.0,聯電,sii,UMC,파운드리
2021-10,2303,19158585.0,聯電,sii,UMC,파운드리
2021-11,2303,19661423.0,聯電,sii,UMC,파운드리
2021-12,2303,20279580.0,聯電,sii,UMC,파운드리
2022-01,2303,20472766.0,聯電,sii,UMC,파운드리
2022-02,2303,20809602.0,聯電,sii,UMC,파운드리
2022-03,2303,22140452.0,聯電,sii,UMC,파운드리
2022-04,2303,22796461.0,聯電,sii,UMC,파운드리
2022-05,2303,24433030.0,聯電,sii,UMC,파운드리
2022-06,2303,24825649.0,聯電,sii,UMC,파운드리
2022-07,2303,24826685.0,聯電,sii,UMC,파운드리
2022-08,2303,25346076.0,聯電,sii,UMC,파운드리
2022-09,2303,25218828.0,聯電,sii,UMC,파운드리
2022-10,2303,24344264.0,聯電,sii,UMC,파운드리
2022-11,2303,22545442.0,聯電,sii,UMC,파운드리
2022-12,2303,20946009.0,聯電,sii,UMC,파운드리
2023-01,2303,19589515.0,聯電,sii,UMC,파운드리
2023-02,2303,16931079.0,聯電,sii,UMC,파운드리
2023-03,2303,17688853.0,聯電,sii,UMC,파운드리
2023-04,2303,18461436.0,聯電,sii,UMC,파운드리
2023-05,2303,18778488.0,聯電,sii,UMC,파운드리
2023-06,2303,19056484.0,聯電,sii,UMC,파운드리
2023-07,2303,19063918.0,聯電,sii,UMC,파운드리
2023-08,2303,18952011.0,聯電,sii,UMC,파운드리
2023-09,2303,19052938.0,聯電,sii,UMC,파운드리
2023-10,2303,19191382.0,聯電,sii,UMC,파운드리
2023-11,2303,18787670.0,聯電,sii,UMC,파운드리
2023-12,2303,16979226.0,聯電,sii,UMC,파운드리
2024-01,2303,19013697.0,聯電,sii,UMC,파운드리
2024-02,2303,17451268.0,聯電,sii,UMC,파운드리
2024-03,2303,18167134.0,聯電,sii,UMC,파운드리
2024-04,2303,19741391.0,聯電,sii,UMC,파운드리
2024-05,2303,19509486.0,聯電,sii,UMC,파운드리
2024-06,2303,17548413.0,聯電,sii,UMC,파운드리
2024-07,2303,20896877.0,聯電,sii,UMC,파운드리
2024-08,2303,20645494.0,聯電,sii,UMC,파운드리
2024-09,2303,18942714.0,聯電,sii,UMC,파운드리
2024-10,2303,21371110.0,聯電,sii,UMC,파운드리
2024-11,2303,20049182.0,聯電,sii,UMC,파운드리
2024-12,2303,18965818.0,聯電,sii,UMC,파운드리
2025-01,2303,19806795.0,聯電,sii,UMC,파운드리
2025-02,2303,18193515.0,聯電,sii,UMC,파운드리
2025-03,2303,19858647.0,聯電,sii,UMC,파운드리
2025-04,2303,20454530.0,聯電,sii,UMC,파운드리
2025-05,2303,19480057.0,聯電,sii,UMC,파운드리
2025-06,2303,18823070.0,聯電,sii,UMC,파운드리
2025-07,2303,20040049.0,聯電,sii,UMC,파운드리
2025-08,2303,19159816.0,聯電,sii,UMC,파운드리
2025-09,2303,19927175.0,聯電,sii,UMC,파운드리
2025-10,2303,21294974.0,聯電,sii,UMC,파운드리
2025-11,2303,21233847.0,聯電,sii,UMC,파운드리
2025-12,2303,19280724.0,聯電,sii,UMC,파운드리
2026-01,2303,20862150.0,聯電,sii,UMC,파운드리
2026-02,2303,19345126.0,聯電,sii,UMC,파운드리
2026-03,2303,20830626.0,聯電,sii,UMC,파운드리
2026-04,2303,22663945.0,聯電,sii,UMC,파운드리
2026-05,2303,22943755.0,聯電,sii,UMC,파운드리
2018-12,2317,619315527.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-01,2317,414095017.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-02,2317,265632525.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-03,2317,376604602.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-04,2317,379786358.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-05,2317,384217278.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-06,2317,396537313.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-07,2317,398012063.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-08,2317,398815197.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-09,2317,587790037.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-10,2317,595882399.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-11,2317,602646218.0,鴻海,sii,Hon Hai(폭스콘),EMS
2019-12,2317,539507164.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-01,2317,364565505.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-02,2317,217460379.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-03,2317,347654242.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-04,2317,380925137.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-05,2317,386980506.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-06,2317,360531936.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-07,2317,403325650.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-08,2317,420545724.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-09,2317,466362634.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-10,2317,612553870.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-11,2317,681375475.0,鴻海,sii,Hon Hai(폭스콘),EMS
2020-12,2317,713780191.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-01,2317,500218095.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-02,2317,401893348.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-03,2317,441217054.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-04,2317,500490784.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-05,2317,455034482.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-06,2317,401616787.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-07,2317,418015118.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-08,2317,400048695.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-09,2317,585731112.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-10,2317,550890889.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-11,2317,621713098.0,鴻海,sii,Hon Hai(폭스콘),EMS
2021-12,2317,717583317.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-01,2317,445750368.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-02,2317,455025496.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-03,2317,507394648.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-04,2317,486464046.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-05,2317,497774765.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-06,2317,526195533.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-07,2317,475099076.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-08,2317,448906316.0,鴻海,sii,Hon Hai(폭스콘),EMS
2022-09,2317,822323447.0,鴻海,sii,Hon Hai(폭스콘),EMS
